Obj,Routes,Vehicles,Elapsed
13.292845400515944,"68,64,94,61,19,43,72,47,14,39,31,95,66;80,24,12,79,86,57,52,87,69;15,74,53,37,33,16,27,18;41,3,0,60,2,70,90,36,42,9;5,65,49,59,81,4,10,55;11,44,77,38,89,92,1,34;58,23,20,85,88,83,63,54,82,46,28;21,17,91,30,73,75,99,67,48;98,93,51,96,35,32,71,56,29,13;62,8,7,22,40;50,26,76,97,25,6,84,78,45",11,14.407922506332397
14.073755989316851,"30,59,65,13,54,75,9,44;83,93,62,38,96,6,24,85,23;66,31,73,48,94,36,84,39,18,52,26,74;40,91,57,71,22,92,70,77,32;4,78,61,27,46,99,1,8;80,33,7,51,20,90,37,68,42,50,14;19,5,0,34,17,41,86,98,97,79,82;89,56,43,76,16,72,69,49,45,87;21,2,60,58,11,3,28,15;53,55,29,47,88,63,81;12,67,95,35,64,10,25",11,13.688162565231323
14.886748452670872,"74,47,92,93,37,55,75;76,53,84,77,73,36,90,9,19,27,25;96,80,2,81,69,8,32,89,83,6;11,57,18,5,67,79,86,61,46;50,26,98,43,1,65,29,10,17,94,63;68,39,20,30,35,85,52,88;7,15,31,71,91,54,60,78,33,58,42;14,70,13,48,51,97,59,22,21;23,99,12,24,3,0,34,49,62;72,28,82,41,56,45,38,95,87,44,64,40;66,4,16",11,13.787689685821533
20.454382539261132,"55,28,68,91,89,10,46,97,52;0,75,59,74,61,57,51,73;84,39,71,45,16,29,14,93,22,62,19,78;2,23,65,43,63,80,15,25,95,76,27,54,77,20;82,12,85,21,8,41;67,60,3,5,38,47,17;69,26,11,49,9,36,13,94,90,66,70,7;88,79,1,44,4,33,87,72,50;56,34,58,83,6,96,30,35;81,53,99,92,48;24,31,98,40,42,86,32,64,18,37",11,13.618345022201538
17.511937079019845,"37,16,43,89,67,3,28,73,8,25,75,54;12,79,34,20,84,41,62,83,2;66,87,19,9,10,14,71,88,18,38;60,4,53,35,24,50,98,17,97,52;63,30,6,1,26,40,96,69;29,61,22,48,64,49,58;74,36,92,46,21,82,33,81;45,76,39,47,68,91,95,31,99;51,57,23,59,94,90,15,93;32,85,5,11,78,27,56,80,72,42,77,55;44,7,65,0,86,13,70",11,13.590226650238037
15.134531144052744,"72,80,15,33,98,49,40,76,36,18;70,66,58,46,90,34,92,82,20;31,41,32,74,65,54,93,87,37,52,47;84,62,17,51,43,22,44,19,57,96,1,5;39,73,16,86,69,4,2,12,81,10,23;53,94,61,24,63,8,68,30,75;88,3,6,0,25,85,55,21,11;60,67,95,26,89,27,77,13,83;7,91,50,14,78,42,64,29,59;48,9,35,99,97,38,71,45;79,56,28",11,13.624261379241943
18.890071560628712,"16,45,25,89,88,29,9,51;3,46,82,6,74,64,36,52,4;24,84,23,65,92,47,71,49,90;79,61,44,76,20,27,5,50,73;32,48,91,10,94,43,40,98,87,60,72,35;83,63,69,22,2,67,96,15,77,8;7,54,56,37,34,55,38,30;42,13,39,68,21,86,31,99;33,97,1,80,57,11,70,78,66;19,93,81,59,58,17,0,18,85,12;62,95,41,26,75,28,14,53",11,13.628432035446167
16.36251519061625,"4,55,19,86,5,87,2,78,24,64;39,57,65,68,31,7,94,81,6,75,96,77;61,70,97,35,84,62,40,33,10,23;92,99,90,88,29,74,52,56,28,72;51,30,13,54,93,38,16,25,12;20,58,95,85,50,9,8,69,36,21,91,17,43,11;59,49,37,1,3,14,44,34,45;89,67,73,27,83,46,42,80,48,98,60;66,0,76,18,15,26,32;71,22,79,63,53,47,41,82",10,13.676952600479126
17.697384998202324,"32,70,99,13,62,4,45,58;20,55,57,0,64,93,49,2,87,34;85,65,76,91,5,47,10,44,17,82,75,92;54,25,77,86,72,53,60,24;23,73,83,27,67,74,12,14,11,95;42,69,89,15,28,56,31,16,78,88;71,19,33,7,43,35,98,63,36,6;1,3,18,59,68,9,29,52,41,39,40,51,84;97,22,61,79,66,21,96,50;38,37,94,90,8,30,81;46,26,48,80",11,13.578167200088501
16.66712092794478,"13,75,0,97,16,17,90,35,98;83,58,80,8,44,74,72,41,28,10,1;21,23,47,92,62,63,7,11;77,51,81,36,4,86,46,15,45,5,91;39,50,95,87,2,3,24;14,52,76,79,54,25,65,43,37,82,61,34,18;38,94,22,12,73,26,96,27,29,88;19,20,70,71,67,78,31,57,99;32,85,55,42,33,68,49,59,60;93,6,48,56,64,84,53,9,69,89;30,66,40",11,13.604004621505737
14.524617500603199,"52,33,63,69,24,86,55;14,34,35,17,99,47,39,15,56,22,32,94;62,80,30,92,66,40,90,49;71,93,50,36,73,42,83,0,67,5,58;98,91,26,97,78,27,7,11,64,77,57;89,85,16,76,31,96,18,81,68,70,45,2;54,43,74,82,13,87,65,4,8,6,95,41;19,28,12,60,59,3,61,38,20;79,10,1,23,48,9,53,88;44,25,29,37,51,46,21,72,84,75",10,13.612324476242065
16.081425684969872,"91,81,96,30,13,85,11,4,37,29,70,98;58,32,27,76,56,19,80,67;73,31,41,40,60,38,43,20;68,92,53,45,2,77,9,23,24,97;1,25,86,54,95,75,71,26,8,89,0,72,35,5;22,6,66,64,82,33,78,69,15,49;16,17,34,57,65,59,99,44,12,62,87,79,36;28,21,61,63,14,50,18,7,48;55,90,42,84,52,39,10,94,46;74,93,47,88,3,83,51",10,13.574974536895752
16.01832754164934,"50,49,28,41,55,39,54,85,36,13,31;0,52,56,64,8,73,38,83,15,40;51,25,42,76,5,75,29,98,91,6;99,35,90,14,9,89,34,3,21,65;45,62,61,24,20,32,96,57,1,53,97,30,26;77,33,63,95,16,79,70,59,60,58,82;74,12,72,4,68,43,86,19,81,80,87;17,11,69,84,66,46,71,92,2;18,47,93,88,37,7,67;44,27,22,94,10,23,78,48",10,13.631471872329712
12.514918681699783,"46,68,72,45,42,24,85,50,3;54,6,83,92,52,39,79,48,41,37;43,38,59,14,76,86,19,96,2,17,97;23,80,10,11,0,29,99,74,31,73,27,20;40,63,82,1,8,61,49,88,21,7,9,62,56;65,22,70,13,47,69,12,33,30,94;95,53,44,75,25,26,4,81,36;18,51,87,66,60,98,32,84,16,90,57,15,55;64,58,93,89,35,5,77,67;91,71,34,28,78",10,13.635947227478027
13.996197470230982,"91,52,75,44,92,95,50,11,99,25,55,90;60,58,19,39,3,0,81,48,30,97,33;94,41,56,74,65,77,29,70,73,67;72,26,87,64,45,62,93,98,18,83,66;1,85,15,4,51,13,16,9,43,31,68;2,40,53,6,71,32;78,21,61,28,88,27,35,37;22,54,7,24,36,23,20,79,46;80,17,86,82,47,5,42,69,10,34;57,38,59,76,8,84,49;12,96,89,63,14",11,13.637913227081299
14.681205476634204,"0,3,8,86,31,35,21,54,94,88;22,15,70,79,62,90,65,74,34,5;75,69,18,10,91,11,89,95,52,64;61,30,58,71,53,9,77,80,51,44,28,85,4;92,37,98,78,2,47,41,81,50,87;24,38,14,43,36,84,49,56;66,99,93,40,68,59,29,7,63;76,82,12,26,27,1,96,33,16;73,60,20,46,13,48,55,83,97,19;6,42,72,67,39,25,45,32,17,23,57",10,13.60905909538269
