Obj,Routes,Vehicles,Elapsed
14.500006961778965,"19,8,42,1,41,34,12,16;35,13,47,32,4,30,45,44;3,6,37,21,10,23;11,27,48,15,36,26;25,31,9,2,33,17;20,29,5,43,39,24,38;49,46,18,14,28,7,22;40,0",8,0.06401419639587402
12.39253171182174,"20,26,49,18,40,8,14;1,27,38,5,2,0,15;9,13,31,46,45,48,24;25,10,21,41,37,12;11,29,19,47,6,23;30,16,4,32,39,33,36,3,34;17,7,42,43,35,44,28,22",7,0.04501008987426758
12.537076442236405,"36,33,46,2,19,41,16,38;3,26,18,24,20,30,27,12;14,34,29,39,22,32,28;9,17,11,48,13,4,23;0,8,25,21,1,10,43;37,15,40,35,49,6,31,5;42,45,47,7,44",7,0.03700709342956543
14.98509002478761,"46,42,30,38,37,13,41;45,17,23,21,5,1,9,12,22;31,2,8,15,20,25,14,19;35,3,33,6,32,28,48,0;27,36,47,39,4,43,40;10,7,26,34,29,18;24,16,11,49,44",7,0.06401443481445312
12.520774383042939,"38,36,35,46,34,1,28,15;25,40,44,41,30,12,8;21,23,5,7,18,24;20,29,4,2,47,33,27,0;13,14,10,11,3,31,16;45,19,22,37,48,26,17,43;9,39,6,32,42,49",7,0.0420076847076416
12.313193485115967,"13,48,29,20,40,11,4,27;23,15,34,1,21,41,7;16,26,37,36,24,28,25;8,14,9,30,10,19;33,3,17,42,38;22,18,6,46,45,12;35,43,5,44,2,39,31,0;47,32,49",8,0.042009592056274414
13.0816067260899,"5,42,35,33,39,31,43;25,19,29,28,40,12,1,21,13,48;9,4,17,16,27,44,7,26,30;6,11,14,23,37,47;38,45,46,34,20,18,15;10,49,3,36,22,8,2;24,0,41,32",7,0.05601239204406738
16.683942050849947,"28,22,26,38,42,36,33,4;14,12,0,29,5,31,20,8;3,43,18,1,34,9,39;45,23,15,19,25;47,13,30,7,11,17;21,16,46,24,35,10;40,49,41,48,44,32,27,2;37,6",8,0.0400090217590332
13.745261108552942,"45,19,29,32,49,23,16;28,3,40,46,6,18;25,30,47,7,39,10,9,43;26,8,21,13,15,27;44,37,38,12,20,17;11,31,24,33,5,2;14,36,4,0,34,42,22,48,1;35,41",8,0.03800821304321289
12.801928232376717,"8,35,31,9,20,30,32;5,6,38,44,36,2,22;18,11,46,33,42,39,47,43;49,34,16,4,41,27,17,29;14,0,28,23,1,15,10;12,19,45,40,37,48,26,13;21,7,24,25,3",7,0.04400944709777832
11.558999066416288,"25,9,13,43,30,36;16,22,45,23,48,40,4,0;44,38,37,12,42,19,17;28,3,34,10,46,26,41;5,11,20,31,32,24,14;7,27,29,2,15,39,49,18;35,33,8,6,1,21,47",7,0.04500842094421387
14.520689145193083,"46,36,31,0,9,35;16,24,6,22,25,30;45,20,41,26,14,38,23,48,21;4,18,17,28,12,3,10,43;19,40,1,34,15,27,13,2;8,49,44,37,29,33;39,32,42,11,5;47,7",8,0.046009063720703125
12.388421512902577,"21,3,46,22,35,0,34,29;1,25,31,40,43,39;13,14,8,30,32,27;42,16,19,26,49,23,24,37,9,36;44,11,6,2,33,41,45;28,20,12,47,48,15,38,7,5,17;10,18,4",7,0.040009498596191406
12.742896103487837,"7,11,10,43,44,15,34,22,25;29,31,2,33,3,38,30;13,9,46,45,5,36,21;0,4,18,37,24,40,27,28,1;8,20,41,42,32,17,19,23,14;26,47,12,16,39,6,48,35,49",6,0.04500937461853027
13.8090060074882,"32,46,3,37,7,18;4,11,14,20,31,39,40;49,35,29,0,25,5,38,27;21,15,24,17,8,22,23,48;36,26,45,42,44,16;6,2,30,34,12,43,13;10,28,47,33,9,41;1,19",8,0.04701066017150879
15.920307985569634,"17,12,18,14,30,49,5,46,0,8;39,27,28,40,48,21;16,23,11,9,7,24;32,15,20,38,35,1;13,34,2,26,37,33;10,47,25,43,31,22,29;3,41,44,42,45,36,19;4,6",8,0.03900885581970215
