Obj,Routes,Vehicles,Elapsed
6.29681396484375,"14,10,5,2,16,13;6,17,11,7,19;18,15,9,12,8,1,4;3,0",4,2.2636444568634033
7.843622207641602,"1,15,17,18,12,5;16,10,19,0;6,7,9,3,2,13,4,14;11,8",4,0.052011966705322266
5.884953498840332,"3,2,15,0,14,13,11;9,5,7,4,10;1,16,18,12,6,19,17;8",4,0.05201148986816406
7.235626697540283,"12,15,5,1,13;10,4,19,16,3;2,0,8,17,14,6;11,7,9,18",4,0.04801011085510254
7.87674617767334,"14,12,5,6,15;0,16,1,8,13,17;10,4,18,19,2,3;7,9,11",4,0.052010536193847656
6.554635524749756,"19,18,11,3,2;4,6,1,5,17;16,8,10,9,14;7,15,12,0;13",5,0.05401277542114258
7.127649307250977,"16,18,2,10,1;8,9,3,5;7,4,0,14,6;15,19,12,17,11,13",4,0.061013221740722656
5.576198101043701,"1,14,18,3,4,19,11;15,9,7,10,5,8,12;6,13;17,2,0,16",4,0.04501080513000488
5.044493675231934,"17,4,5,6,12,1,11;14,0,15,19,8,9;3,13,2,7,10,18,16",3,0.0490109920501709
6.986736297607422,"6,13,14,0,19,8,16;11,9,1,15,5;12,17,2,3,18,10;7,4",4,0.058012962341308594
4.932858467102051,"3,9,5,18,16,2;15,17,1,13,19,7,4,8,11;14,6,12,10,0",3,0.04401087760925293
7.012970924377441,"1,19,6,8,7;0,17,3,13,14,11;5,2,15,16,4;12,10,18;9",5,0.06101369857788086
7.828293800354004,"7,16,12,1,17;3,10,9,14,0;4,13,19,6,5,15;8,2,18;11",5,0.04901289939880371
6.249954700469971,"2,0,4;14,18,16,3,12,7,13,10;15,5,8,11,1;19,17,9,6",4,0.053011417388916016
8.029154777526855,"3,0,1,2;16,8,15,7,9,10;19,13,6,14,18,11;5,12,4,17",4,0.05001235008239746
7.838287830352783,"1,2,8,7,12,10;14,17,18,11;13,5,9,0;19,16,6,4,3,15",4,0.05201077461242676
6.905839443206787,"15,13,17,18,0;1,7,10,9;3,12,4,14;5,8,6,19,16;2,11",5,0.05901336669921875
7.887075901031494,"15,0,16,18,13;12,11,10,9;6,19,4,3;7,17,1,5,8;14,2",5,0.04900932312011719
6.02278995513916,"0,17,1,8,5,9;13,3,18,6,12,16;15,7,19,14,10,11;2,4",4,0.0490107536315918
5.588565349578857,"7,9,2,17;6,15,12,19,11;14,16,0,1,8,18,3;10,4,13,5",4,0.05501222610473633
6.630686283111572,"12,0,15,9,17,1;3,18,16,14,4,5,7;2,11,13,19,10,8,6",3,0.05001044273376465
6.657504558563232,"14,16,0,17,6,9;19,3,12,13,2,11;18,4,10,8,1;5,7,15",4,0.05201125144958496
4.7284932136535645,"17,1,15,11,13,14,9;6,12,2,8,3,10,4;16,19,5,0,18,7",3,0.0490117073059082
6.637121677398682,"19,16,0,13,14;15,10,18,7,1,6,3;9,11,2,8;5,17,12,4",4,0.058012962341308594
6.632877349853516,"8,2,18,16,4,3,17;7,6,15,9,0,12;11,14,13,1,19,10;5",4,0.06101369857788086
9.247215270996094,"17,12,3,8,19;9,1,13,10;18,7,5,16,15;14,11,2,0;6,4",5,0.05401110649108887
