Obj,Routes,Vehicles,Elapsed
5.457312983460724,"2,3,0,1,10,13;6,12,5;9,7,11,8;18,16,19,14,4,15,17",4,1.007155179977417
6.883521791547537,"14,17,11,5,13,9;15,10,7,3,1,4,6;12,0,16,8;2,19,18",4,1.0098588466644287
6.018707387149334,"4,10,2,12,6,19;5,7,14,17,18,3,16;15,8,13,11,0;9,1",4,1.0115025043487549
5.031487565487623,"5,10,9,4,18,13;14,17,2,1,12,0,3;16,7,6,8,19,15,11",3,1.0329999923706055
6.09697600081563,"4;15,11,18,5;9,8,0,1,6;19,3,7,10,17;13,2,12,16,14",5,1.000816822052002
6.129394646733999,"13;9,2,14,19,18,0,4;7,17,12,6,8,11,10;16,5,3,15,1",4,1.0188264846801758
6.059830961748958,"18,8,14,10,0;15,7,2,6,16;11,12,5,13,4,1,17,3;19,9",4,1.0089333057403564
6.470591343939304,"15,10,3,6,1,16;8,12,0,4,11,5;19,14,13,2,9,17;18,7",4,1.0098233222961426
4.88896207511425,"2,11,9,4,16,3;6,19,10,7;5,0,8,1,15,13,14;17,18,12",4,1.0068118572235107
5.976227261126041,"0,1,2,18,8,12,10;16,7,15,5,17,4,9;19,6,11,3,13,14",3,1.0293564796447754
6.926587579771876,"3,4,16,0,12,13;9,17,10,1,11,19,2;14,7,5,6;18,15,8",4,1.00657320022583
7.149360537528992,"2,6,17,5,11,4,10;19,3,1,13,9,12;16,8,7,18,14,0,15",3,1.0249571800231934
5.677963212132454,"2,17,12,0,18,8;16,9,3,7,14,6,5;10,11;19,13,4,15,1",4,1.0263793468475342
6.434383142739534,"1,3,11,14,4,2,12;16,6,9,10,17;18,7,19,8;0,5,13,15",4,1.0144119262695312
7.946103453636169,"14,2,7,5;12,8,10,11,1;9,17,19,18,3,6,15;16,13,4,0",4,1.0295886993408203
5.621707156300545,"5,7,10,14;9,15,3,13,8,0;11,6,18,12,19;2,1,4,17,16",4,1.0284295082092285
5.9237590581178665,"8;15,11,0,3,9;17,4,1,5,13,10,7;14,18,19,6,2,12,16",4,1.0350801944732666
7.482848152518272,"12,17,15,6;4,16,19,0,1,10;9,3,2,11,8;7,5,13,14,18",4,1.0233180522918701
7.46945658326149,"16,1,14,19;4,0,5,9;2,15,8,6,18,10,12,3,7;17,13,11",4,1.0169928073883057
4.91050623357296,"10,13,14,12,17;3,2,16,8,1,18,5,0,19;11,7,9,4,6,15",3,1.0295424461364746
7.8968272134661674,"1,8,19,12,0,9,18;13,10,14,7;17,15;5,4,11,3,2,6,16",4,1.019294023513794
4.9084633477032185,"13,7,15,0;2,17,1,14,16;9,6,3,5,19,11;12,10,4,18,8",4,1.0163788795471191
7.686092556454241,"11,1,6,5,13;8,3,14,4,17;7,16,12,15;18,10,9,19,0,2",4,1.02146315574646
8.183103073388338,"11,14,10,19,15,7,17;4,5,3,8,2;6,12,9,13,18;1,16,0",4,1.02980375289917
7.222960522398353,"13,14,17,11,1,0;3,10,5,19,7;12,15,18,8,6,9,16;2,4",4,1.017721176147461
5.92587286606431,"2,13,16,14,17,0,18;5,1,10,11,12,4;8,9,15,6,7,3,19",3,1.034980058670044
6.439327396452427,"2,12,17,4,5;10,14,3,1,16;18,6,11,0,7,15,19;13,8,9",4,1.0306193828582764
5.7568916119635105,"1,9,6,3,15,19,17,12;11,5,10,0,8,16;2,13,7;14,4,18",4,1.0095016956329346
5.4274513721466064,"1,9,13,6,4;19,17,0,16,7;8,10,14,12,15,2,3,5;18,11",4,1.02616548538208
6.15372097119689,"3;14,18,12,7,11,10,17;15,6,9,2,16,13,1;0,19,8,4,5",4,1.0017495155334473
6.247822381556034,"8,3,19,12,5,1,16;17,2,4;6,9,18,15,7,0;13,10,14,11",4,1.0167231559753418
5.457473613321781,"10,16,12,14,9,19,8;2,15,11,7,6,18,3,4;17,1,0,5,13",3,1.012242078781128
4.886672671884298,"13,9,11,7,17;12,14,10,4;15,2,3,8,5,0;1,16,18,19,6",4,0.9925682544708252
5.122211627662182,"18,1,2,0,14,9,8;3,10,13;5,7,19,12;17,6,4,15,16,11",4,1.0045511722564697
8.382161043584347,"18,14,12,11,16;10,9,0,13;1,7,5,8;19,15,4,6,17;3,2",5,0.9979526996612549
6.439778270199895,"16,6,18,14,0;8,12,11,5;9,17,4,13,19;10,1,3,7,2,15",4,1.0125818252563477
6.11505588889122,"5,19,15,18,11,6,9,16;13,8,14,1;7,17;12,4,10,2,3,0",4,1.0043227672576904
6.701602385612205,"4;1,16,5,17,2,0;6,18,8,14,15;3,13,19,10,12,9,7,11",4,1.004241704940796
6.823814418166876,"12;0,4,15,13,14,9,2;6,1,8,11,18;19,17,3,5,16,10,7",4,1.0305471420288086
7.121892521157861,"19,16,9,4;17,2,0,18,6,5,7;11,13,10,8;14,12,1,3,15",4,1.0270869731903076
6.641998186707497,"10,16,14,6,5,1,11,3;2,4,19,8,9,7,13;0,18,15,12,17",3,1.0272011756896973
7.11484413780272,"18,17,8,0,14;4,11,10,6,5,15;16,13,2,19,12;9,7,3,1",4,1.0283818244934082
6.43148316629231,"1,18,3,0,16,19,14;10,6,9,4,7,13,12,11;17,15,8,2,5",3,1.0347089767456055
6.751213394105434,"16,1,5,4,7,0,10;18,12,3,15,14,19;9,8,2;17,6,13,11",4,1.0292837619781494
5.266371933743358,"17,9,19,13,14,15,7;0,8,5,10,3;2,6,18,16,4,1;12,11",4,1.0309386253356934
6.958148084580898,"1,7,18,10,8,5,9;13,14,3,6;15,0,16,19;2,11,17,12,4",4,1.0005018711090088
7.599110439419746,"6;0,3,15,12,9;11,1,18,2,17;10,4,14;16,19,13,7,5,8",5,1.0122158527374268
6.322367472574115,"9,2,19,11,10;12,1,6,14,17,15,3;7,13,5,16,18,0;8,4",4,1.037841558456421
6.5987445041537285,"15,6,14,5,10,8,18;19,2,12,4;17,7,1,0,3,11,9;13,16",4,1.0069770812988281
6.423304388299584,"6;9,7,3,19,10,11,1;14,16,12,4,17,2;15,8,5,0,18,13",4,1.0178544521331787
5.649644343182445,"1,14,3,11,6;19,4,18,10,2,16,7,12,15;9,0,5,17,13,8",3,1.03214430809021
5.671626757830381,"2,12,7,6,0,8;9,15,19,10,5,14,18;4,13,1,11,16,3,17",3,1.0573148727416992
6.126139849424362,"15,11,18,2,0,8;12,1,19,7,9,6;14,16,5,10,4,13,3,17",3,1.0439579486846924
6.308388840407133,"7,14,8,15,3,1,17;10,4,6,16,18;5,2,9,19,13,11;12,0",4,1.0185637474060059
5.675613719969988,"8,15,11,10;5,1,9,13,4,3,2,12;6,14,19;7,18,16,17,0",4,1.0190885066986084
5.901763938367367,"2;3,16,12,14,6,17;11,5,10,18,0,15,13,8;7,4,19,9,1",4,1.0211985111236572
6.836363093927503,"5,2,17,1,16;4,11,6,10,12,0;3,7;14,9,15,19,8,18,13",4,1.0181760787963867
5.893113136291504,"19,16,4,17,14,3,5,18;1,15,10,6;8,13,7,9;11,2,12,0",4,1.0170741081237793
7.322658210992813,"7,15,8,1,0,4;18,11,10,16;17,6,2,19,12,13;14,5,3,9",4,1.0148391723632812
6.181217338889837,"9,17,14,19,11,18,16;10,5,7,15,3,13;2,1;0,4,12,8,6",4,1.0076322555541992
6.874739831313491,"18,15,4,16,8,11,12,10;2,1,7,6,14;13,9,5,17,0;19,3",4,1.017225742340088
6.8666002713143826,"13,14,9,15;17,18,19,12;7,2,3,8,1,5,6;11,10,16,0,4",4,1.0102250576019287
5.50480043888092,"3,16,13,10,0,5,11;2,15,12,9,1,7;4,17,14,8,18,6,19",3,1.0297563076019287
5.513905303552747,"15,9,8,0,14,12,19,17;5,7,3,13;18,11;10,6,2,4,1,16",4,1.0264832973480225
5.911706179380417,"19;9,12,14,1;2,11,6,8,10;16,18,3,13;7,15,5,4,17,0",5,0.9886209964752197
6.3235409036278725,"5,19,2,16,0;3,17,18,1,13,12,6;15,4,10,7,9;14,8,11",4,1.0405924320220947
5.309356842190027,"10,12,6,11,8,4;15,18,9,0,17,2,7,1;16,14,13,3,5,19",3,1.025965929031372
7.474914826452732,"2,11,15,3,6,19;7,1;18,8,17,10,9,0;14,13,4,16,5,12",4,1.021003246307373
7.4043854512274265,"11,7,10,19,15,14;18,3,9,6,4;0,17,2,5;1,13,16,12,8",4,1.0288798809051514
6.04508563131094,"12,15,17,7,9;1,11,16,4;2,10,13,6,18,14,5,0;19,8,3",4,1.0335180759429932
7.472895225510001,"0,17,14,9,18;8,11,6,19,10,7;3,1,4,2,5,16;13,15,12",4,1.0264852046966553
5.102043001912534,"14;13,8,5,12,3,4,11;7,6,0,17;2,9,10,1,19,18,16,15",4,1.0292725563049316
5.42520727775991,"14,15,4,5,1,7,10,17;18,13,9,0;2,12,11,3,16,6;19,8",4,1.01535964012146
6.057307966053486,"16,3,14,8,0,18;13,12,1;17,7,4,19,15,9,6;11,2,5,10",4,1.0149168968200684
7.991515068337321,"5,18,12,8,13,10;14,7,6,2,15;17,16,3,19;0,4,9,1,11",4,1.0221338272094727
6.495185602456331,"16,12,7,13,3,6,0,15;5,14;18,1,10,19;11,17,8,4,9,2",4,1.015526533126831
5.671113274991512,"5,10,17,14,6,11;15,3,19,7,1,18;12,9,13;4,2,8,0,16",4,1.0231070518493652
6.185447096824646,"2;9,3,19,11,15,6,1,12;16,0,8,13,10,18;17,5,4,14,7",4,1.0071957111358643
5.152885238872841,"1,11,12,3,8,10;4,9,18,6,15;2,5,0,13,7,16,19;14,17",4,1.0079081058502197
5.138223025947809,"5,18,7,8,13,9,15;1,14,4,6,10,3,2,17;16,0,11,19,12",3,1.0449023246765137
6.987375233322382,"16,15,12,2;7,19,14,1,4,18,13,5;6,8,10,9;17,11,0,3",4,1.0280723571777344
6.916573591530323,"16;0,8,10,17,9,12,14;4,6,11,2,1;19,7,15,18,5,13,3",4,1.0319528579711914
5.6170446909964085,"14,6,5,12,7,10,17,0,2,1;9,19,13,4,3,8;16,15,18,11",3,1.037513256072998
6.260801017284393,"10,6,8,11,19,7,16;5,9,12,18,3,0;2,14,17,13,1;15,4",4,1.0418684482574463
4.816379196941853,"10,19,11,0,13,2;6,17,12,8;4,14,1,18,5;3,7,15,16,9",4,1.0040712356567383
8.361147619783878,"14,2,9,15,12,5;3,11,19,13,16,1;0,7,17,18;8,10,4,6",4,1.0044288635253906
5.848375417292118,"19,4,2,10,18,0,17;1,7,9,8,12,3,5,13;11,15,16,14,6",3,1.02878737449646
5.4935323521494865,"4,17,3,19,5,15;11,8,14,1;7,6,16,10,18;9,12,0,2,13",4,1.0143506526947021
6.026867728680372,"10,15,6,14,2,5;8,16,4,17,13;0,3,7,1,18,19;11,12,9",4,1.004065752029419
5.6401109509170055,"11,13,15,16,2,12,0;10,3,19,9,14;1,8,17,7,4;5,6,18",4,0.9987454414367676
5.613634217530489,"1,14,9,4,2,18,0,11;13,15,17,10,8,12,6;16,19,3,7,5",3,1.0174527168273926
6.631592722609639,"2;12,7,10,6,9;15,0,19,4;16,8,5,14,13,18,3,17,11,1",4,1.0047836303710938
6.110953710973263,"13,6,0,1,4;16,8,10,7,2;15,18,17,12;14,5,19,9;11,3",5,0.9965922832489014
6.744102044031024,"10;0,16,3,19,8;15,4,13,1,11;5,7,2;6,12,9,18,14,17",5,0.9866061210632324
6.237184198573232,"11,4,6,18;13,12,15,10;16,5,0,19,17,8,3;7,9,2,1,14",4,1.0027458667755127
5.154395926743746,"19,0,1,11,6,13,15;5,9,10,3,12,14,18,17;16,2,4,8,7",3,1.028069257736206
